ID	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	CancerType
TCGA-OR-A5JG-01A	0	0	0.00378386580946753	0.0531111723546311	0	0.259911868238065	0	0	0	0	0	0.0203629546472659	0.0060506243695266	0.0432096266986884	0.0487053536226234	0.343843661767296	0	0.0817655606982798	0.0158417761412984	0	0.123413535652858	0	ACC
TCGA-OR-A5LG-01A	0.0346227993222076	0	0.0146777459829675	0.108523149085936	0	0.229084481656362	0	0	0	0	0	0.030164857565546	0.110743280463665	0	0.0102155582604409	0.358971914954513	0	0.0513137017573151	0.0516825109510468	0	0	0	ACC
TCGA-OR-A5JR-01A	0.0193461723606488	0	0	0.141153022578171	0	0.269571261768759	0	0	0	0	0	0.0647413963283603	0.143760305192111	0	0.0100509921847296	0.220340226578562	0.0291184529729076	0.0374785172431221	0.0644396527926294	0	0	0	ACC
TCGA-OR-A5L9-01A	0.0341275539838005	0	0.0109027600368005	0.162562259233208	0	0.215626709636253	0.0398951223535442	0	0	0.0464281224850744	0	0.0411757478023417	0.0365012064422414	0	0.0405443428047471	0.238018385591739	0	0.0111147549886202	0.123103034641631	0	0	0	ACC
TCGA-OR-A5JQ-01A	0.0251325608293464	0.0317401114474068	0.00670138493089651	0.196299089942025	0	0.268552566401359	0	0	0.0176127047401829	0.0409660770927325	0	0.0165753767063404	0.00586668753794521	0	0.0908609611770034	0.237559917362231	0.0117836494778766	0	0.0503489123546535	0	0	0	ACC
TCGA-OR-A5JL-01A	0.050691585276798	0	0.0671038065826008	0.0204604669377805	0	0.21029443596618	0	0	0	0	0.0160380868238089	0.0380445683764162	0.130663783418157	0	0.0249886072533715	0.338385455396293	0	0.0157114017145301	0.016066683819302	0	0.0715511184347615	0	ACC
TCGA-OR-A5LC-01A	0.0757715641799283	0	0.044230070008159	0.0552105854466726	0	0.0789129619290749	0.00176494356865501	0.04411596733636	0	0	0.0185029392203219	0.0098642464793707	0.042601804386517	0.167893195530207	0.0943755982100407	0.318445127925458	0	0	0.0483109957792349	0	0	0	ACC
TCGA-OR-A5K2-01A	0	0.0592571723062467	0.00445856284793487	0.0282163623530505	0	0.148520694319309	0	0.016491338203787	0	0	0.0137800099452716	0.015692474042591	0.118545324398692	0	0.0264368079491977	0.242512361786753	0.0157054132160547	0.184493073103517	0	0.0340141799812975	0.0918762255462967	0	ACC
TCGA-P6-A5OG-01A	0.0197454080210281	0	0.0056732514091461	0.239737973394167	0	0.0668538942446823	0.041742169253039	0.0226435940346197	0	0	0.0463020030469329	0.0176480633492835	0.0282020980914049	0.0532696903750151	0.0823503496209101	0.284257289870577	0	0	0	0	0	0.0915742152891948	ACC
TCGA-OR-A5J8-01A	0	0.00335549076550012	0.00637546079976391	0.199326371247743	0	0.110684227747739	0.0153738984996143	0.0578885858089717	0.0345351216482028	0	0	0.00775896082482574	0.117624677187035	0.0554709290550895	0.0929714579079988	0.277440047414589	0	0	0.0211947710929265	0	0	0	ACC
TCGA-PA-A5YG-01A	0.0103108845249915	0.0164403928693366	0	0.14088466725188	0	0.184560795791911	0	0	0.00283431876164227	0.029237275982466	0	0.0768934533626198	0.0765317411655857	0	0.0167924411811719	0.230767430030704	0.0149775265496563	0.0286980360093756	0.171071036518659	0	0	0	ACC
TCGA-OR-A5L4-01A	0.025149224012289	0	0.013737554106859	0.0432041705248419	0	0.266147595767757	0	0	0	0	0.0533562086550906	0.021201217400813	0.13629203822057	0	0.038415020466514	0.273662462673489	0	0.0734335644500195	0.0554009437217568	0	0	0	ACC
TCGA-OR-A5JO-01A	0.0314364055116366	0	0.0115255214706903	0.134763296887025	0	0.160298328519287	0	0	0	0.0117053898770602	0	0.0677800346125739	0.0432034352042173	0	0.054765687728965	0.229017412872408	0.0896263441419536	0	0.165878143174183	0	0	0	ACC
TCGA-OR-A5JV-01A	0.0155956381851028	0	0	0.0690485222891932	0	0.299454286717792	0	0	0	0	0	0.012931108437104	0.261761406298543	0	0.0374961621710793	0.23732777102304	0	0.0356572837291735	0	0.00871094315057013	0.0220168779984029	0	ACC
TCGA-OR-A5JB-01A	0.00908212553475445	0	0.010634459706771	0.35275951937856	0	0	0.0118654049156512	0.0475567755987738	0.023771733175257	0	0	0.0703087150883483	0.00391032808882271	0.0106686008931669	0.126645559465778	0.245971979792921	0.00728649204362245	0	0	0.0387641755589796	0	0.0407741307585939	ACC
