CancerType	Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ACC	CENPI	0.0400936656467681	0.840495208384865	0.387217369695528	0.146820413077066	1	0.443406446068513	1	0.043613896793864	0.735305383258891	0.00120524565486967	0.173635968171242	0.151274181909464	0.801994728118212	0.00934547093297983	0.345125732348745	0.739343123241227	0.0959354845491466	0.095142119866357	0.00103026241211382	0.143091720944993	0.179162335023046	0.360055188265206
BLCA	CENPI	0.244739324821743	0.238379569219687	0.00108714539628977	0.20581652455866	1	0.979544746208613	0.00549464942651816	0.0133242924866118	7.30998579874745e-08	0.757047482811015	0.0563337814091453	0.109349562956871	0.453178445497496	0.0024241849460429	7.96280051008038e-06	0.840356150898549	0.206467679797696	0.724413422758938	6.06797874193128e-05	0.616381979871132	0.159185740810833	0.217312092120055
BRCA	CENPI	0.0348963418101946	0.245330534155282	0.04519498990265	0.000728243035086256	1	0.83637824121694	1.00373049066507e-23	9.98350459951372e-05	0.268474060421211	0.629349445378763	1	0.717903248199579	1.12473163800971e-05	7.92635704670862e-15	5.55572471163988e-18	0.00159089222472761	0.000802246900963335	3.67386722005977e-14	4.70078053807006e-22	1	1	0.000876367103277873
CESC	CENPI	0.0238967415750254	0.223656975515204	0.506466622543623	0.0298784116162427	1	0.0862742185938155	0.912323025872485	0.736880029813098	0.0578052045101888	0.133559119643127	0.206514154448517	0.000774927385489621	0.340733165814963	0.129936789485671	0.11934136779272	0.699500944056282	0.544740388716513	0.504922240756145	0.0118727008730158	0.691516325848603	1	0.913594585635281
CHOL	CENPI	0.299871895034981	0.00564758690745145	0.165300360319912	0.732492050554697	1	0.523700033868098	0.638576899012474	0.415507384735167	0.506075808506118	1	1	0.0381460299905256	0.108168762315611	0.0363764894504119	0.467492729254086	0.540921623971181	0.0866420473503946	0.559398010029703	0.033855509602882	0.427152834354523	1	0.0423473488752983
COAD	CENPI	0.0897694114950146	0.119547225789545	0.099274012636269	0.0531392210292897	1	0.512097273880796	6.34342518472344e-05	0.00170306208533815	3.92437472262699e-05	1	0.919312190244972	0.529120582348472	0.109357667906149	0.650110503794644	0.0148995522897904	0.577948645633762	0.000206031420549435	0.0100022622970177	0.0808226391224464	0.0267955203357694	0.221169682321142	0.00789493052874301
DLBC	CENPI	0.885708511372428	0.542868049699626	1	0.0408466202871892	1	0.301310806601674	0.00342150077507822	0.0244000681177273	0.00726912015111807	0.811892255841037	1	0.392806130626963	0.781262471569647	0.585214738709546	0.585214738709546	0.407102215838054	0.0478708268572243	0.0646273432494374	0.595168677936758	1	1	1
ESCA	CENPI	0.947038663246172	0.0491211286528202	0.819602811484421	0.128295975080206	1	0.474956567403422	0.215312500808263	0.333844689345545	0.66822464655122	1	0.610926520670611	0.396342443119819	0.727384092755424	0.105127060724619	0.320080236726148	0.784082411322398	0.964642441278142	0.974634432821289	0.245877086992006	0.998057129762757	1	0.172733030442242
GBM	CENPI	0.269897171418572	0.94042695431549	0.172329751242742	0.765645403617086	1	0.0569400899549578	0.874559615168979	0.0694960444536862	1	0.112499502408368	0.381539773592	0.523616878388126	0.00185953727024865	0.0337296554405213	0.594266398718806	0.000324756299249525	0.618115313146697	1	0.0571215428453889	0.444589439638928	0.00262731728479795	0.399941572046657
HNSC	CENPI	0.0240583048023954	0.139966823902439	0.331425266178267	0.0252863446104716	1	0.000118755242383115	0.25804291440592	0.616673134960258	0.625534040257823	1	0.0354507817058403	0.0157954279676616	0.987725362329587	0.657839445393196	0.137919017381134	0.388313757260457	8.31487228697615e-05	0.331505644676648	9.06241891424199e-05	0.0475267691846989	1	0.00822876696509941
