CancerType	Gene	StromalScore	ImmuneScore
ACC	CENPI	0.00616678955378854	0.00290462582077356
BLCA	CENPI	0.14251757451541	0.991242582087813
BRCA	CENPI	2.44262454454434e-14	0.857790555984198
CESC	CENPI	0.25558421135833	0.0021639793044771
CHOL	CENPI	0.253109147880519	0.380089351782651
COAD	CENPI	0.124350918524857	0.0760411418769519
DLBC	CENPI	0.315950787897368	0.448964697218816
ESCA	CENPI	0.25336578372457	0.013568303012326
GBM	CENPI	1.49078748778296e-06	1.47600485890961e-07
HNSC	CENPI	0.011923978293894	0.0374222086028897
KICH	CENPI	0.8017299088798	0.275841287026892
KIRC	CENPI	3.67146104769265e-12	1.74241108598802e-08
KIRP	CENPI	0.409997939992376	0.00459924935187647
LAML	CENPI	0.421515782682587	0.00015213489452329
LGG	CENPI	0.88930495990171	0.730732565984961
LIHC	CENPI	8.5183801776057e-05	0.184899104810468
LUAD	CENPI	0.0572473311040474	0.0239545468805423
LUSC	CENPI	5.97026009508744e-14	1.0196902152184e-09
MESO	CENPI	0.1510059042564	0.869329922986447
OV	CENPI	0.678355302482781	0.975631059491455
PAAD	CENPI	0.0935388560519259	0.0656938134622211
PCPG	CENPI	0.523947751151449	0.000919634332141153
PRAD	CENPI	0.0037905215901324	0.289776769127324
READ	CENPI	0.152809126687085	0.0593578555968868
SARC	CENPI	2.72724140324107e-09	0.000245597797266479
SKCM	CENPI	0.000869461048368257	0.192662867795364
STAD	CENPI	8.45749127082842e-13	9.61181663089873e-05
TGCT	CENPI	0.127943158771384	9.80289093618797e-10
THCA	CENPI	2.84765101028148e-13	1.57745792209845e-17
THYM	CENPI	0.00661832172539054	0.0746243159206524
UCEC	CENPI	6.73620408850516e-06	2.73763886232563e-10
UCS	CENPI	0.040691149408731	0.944208092109964
UVM	CENPI	0.98011496829949	0.841370186144034
