CancerType	BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
ACC	0.456725724674735	0.511366217584562	0.338520203451461	0.00132126516502119	0.202584861391336	0.323182587734295	0.202946820399848	0.0702943343958263	0.581512995494081	0.0742602426756758	0.921842440991217	0.15553894714275	0.396006799026605	0.0403049475538914	0.831915020102173	0.0040101899985868	1.19811729093972e-06	0.393884616391323	0.193334605804556	0.870299450175857	0.407268166209688	0.82859905753149	0.0211560751571103	0.218894612980965	0.557318761489623	0.31586475717567	0.327214257596421	0.666828716315515	0.893882050887619	0.989261451443412	0.663124581985425	0.173866629255295	0.199433241019635	0.946534492382689	0.915779219622533	0.289303630442064	0.974547653947757	0.14347549547953	0.658502355530121	0.0616122626488048	0.623288360023979	0.543449024416483	0.626665508070999	0.335053631494629	0.454914765621868	0.349999422837451	0.0165603828333521
BLCA	0.0493698134349207	0.172290372830239	7.0643172482936e-14	2.09078615236654e-06	0.136071160566002	0.477490958247262	0.213776105691157	7.45957271988056e-06	0.000231001870750022	0.295973622898858	0.0100068900887225	0.816995712035665	0.0659851942115891	0.0010376747609182	0.00136751642930794	1.931946136522e-05	0.0127415103258676	0.0492427345454313	1.46679163425844e-08	0.0207835706791858	0.0066356464072023	5.33473214794328e-09	0.280759666816388	0.263702017668708	0.018700462245274	0.193575061116026	0.713519217174808	0.000254174433056128	7.07767622556142e-08	0.278788023605919	0.0228976584055912	0.38800284929761	0.0010918798131881	0.13022959331576	0.397190788073304	0.752536660815071	0.221025384325938	1.74647551759229e-05	0.0488667997321561	4.12798568577627e-06	0.0639199581130802	0.190711391409549	0.0025683999169459	1.13946008981493e-09	0.00153803152646573	0.00611454859179587	0.000293120696795642
BRCA	0.00113364959883177	1.44932184692614e-05	4.24363457536225e-44	0.36130950015487	0.0317624918638775	0.000703196797379936	0.0176590077626418	6.61365365030915e-14	2.40382310169759e-19	0.767697991212451	7.49868052851109e-15	0.806038936887712	0.0200305209343247	0.220145555565736	0.000966846561514526	0.254093471954131	0.000755923057299775	1.93088267101884e-05	4.05312939358607e-31	0.00134152059072946	0.603921933129961	1.94621322437157e-05	0.000190213133783916	0.0243646087174849	0.00213782800532331	0.448082806914705	0.000287523383509326	8.5630225217065e-25	1.46562789814063e-16	0.00101065895437411	0.0105781080239058	0.00987080099630915	0.0037624522175303	0.00906348838136356	0.1539197352793	0.863716130413501	0.0110241500602951	8.14185520403409e-15	2.16248843039414e-07	0.7369156033228	4.18785245775534e-07	2.03220752541378e-10	2.70023858460403e-10	1.99683752338141e-13	1.0553378173003e-06	0.0285093902938551	1.1375421228901e-16
CESC	0.933850076228739	0.107849658171057	0.00980175361843105	0.541049263512486	0.378614293703135	0.202068534474606	0.163836398807055	0.0120775579604171	0.938573014865515	0.371020197890328	0.130156088981345	0.206483239668941	0.44002883361721	0.909540514019664	0.133289696059379	1.28648802129687e-06	0.931393333021673	0.581343504550136	0.737320561885077	0.0512978504275031	0.0932248651972958	0.722992125570324	0.428056883033375	0.387943753065929	0.201097506383424	3.61086457016438e-05	0.539817676664932	0.7028228650921	0.91999830524254	0.0225696874270066	0.0746988134903349	0.982734534793615	0.81980319328854	0.0467949904957204	0.18728450388328	0.0500335964520923	0.370705074298588	0.0891292144614166	0.000772448893116339	0.898699691858777	0.00966773092580973	0.133274667352936	0.169817432026632	0.394467365887441	0.23715393169084	0.000207422830636021	0.519601148514689
CHOL	0.256973900035449	0.763082859686419	0.547969090124427	0.697812507209275	0.699572444694398	0.257062171754225	0.913582823540191	0.171150455026141	0.698697080284427	0.208499931466355	0.834908664062207	0.37296093053235	0.285588232565537	0.707955160068602	0.7774142768589	0.462296696513189	0.316868422752326	0.286842513281864	0.594357876587217	0.291747733804278	0.97338651073195	0.627160455308138	0.446424318476246	0.290066889755783	0.927168103837608	0.0600588001009518	0.963430486176829	0.733344166737132	0.392008895784003	0.297207865686284	0.600454816530532	0.573801139181646	0.478808421810707	0.0781183611165454	0.0773491597124258	0.999136155290905	0.55446366783892	0.106062186781918	0.251556508386177	0.781514426051033	0.166361534897878	0.844144868446499	0.81978296413091	0.677939121123768	0.554564465176495	0.537334974938876	0.477819236774335
COAD	0.00274690273470583	0.00614844606522936	8.74500270603419e-09	3.11927791436848e-05	0.856105839732025	0.126498112670886	0.513637025777259	0.67054608882915	9.02452647045887e-07	0.966269676382587	0.0172838683933862	0.99819649539642	0.00597104034379072	1.25729596876516e-12	0.13801513999762	0.00196204701094457	1.52568689331767e-12	0.0168900266122163	3.21341080159646e-12	0.133502691566413	3.04934750629125e-10	2.39776575287896e-16	0.3328442879296	0.195787935380541	0.763762646003742	6.66406847040978e-05	0.123529335933877	0.00697088510212407	6.33536553302768e-06	0.0092052765720489	0.869876232359205	0.205231560134997	0.000461395065401006	0.067099706035184	0.0586426149079555	0.00136145386443924	0.659471122509968	1.86883121654888e-12	2.79234707183669e-10	0.182649821118295	0.000295978699810869	0.00675397124615789	0.00883381587502094	4.36953514160496e-07	0.00612960922177118	2.02511651981788e-06	0.000154175121091535
DLBC	0.411675854453799	0.0283804455008863	0.00458898638566144	0.00215849395392124	0.757244154190441	0.203573451248184	0.743924629145141	0.358416742811283	0.756677896793796	0.789000291684506	0.260081205180082	0.000141628716313882	0.970362454822338	0.0406614033465556	0.412516366476929	0.000134777249415147	0.881775365815124	0.184193263964548	0.129843632617735	0.127451678502638	0.0342920641878687	0.362708522626348	0.231809148807521	0.531188742238165	0.533557796975734	0.0120885495026018	0.774190462534295	0.981400894308632	0.0830252176483124	0.0905039936658885	0.0132141014874759	0.634209875703462	0.465718029713949	0.966200690056455	0.045094648516462	0.00168134727023098	0.247936509173884	0.381701068705908	0.00229762516500327	0.0273839242236272	0.000607707738269072	0.0836794546551551	0.228725864337292	0.012282376392732	0.172070807970382	0.21938132847204	0.147715105612737
ESCA	0.194250344298373	0.597416895329272	0.0709190343592838	0.786550532646871	0.305809938879221	0.549549199082758	0.157927814821346	0.882222857127526	0.576897695962337	0.00178111214177289	0.841765579519585	0.0198104108664781	0.317114860233022	0.224730357619551	0.819200303414224	0.38445663786214	2.08084104132461e-05	0.966939519694405	0.516502122658517	0.30024195359055	0.661675008253342	0.696711096244276	0.0769571594036843	0.836210885978505	0.323652242963131	0.428988152477233	0.809270599457522	0.69992691321457	0.698761538053942	0.779778433795797	0.235090794884902	0.373564530551033	0.502839703329562	0.461436061522068	0.357357097397217	0.0551975214379624	0.528003163994571	0.0673505318319407	0.144820786765818	0.696178429981192	0.473853499877357	0.992022084815681	0.689006721624295	0.076668870104049	0.887960441011863	0.354296666789762	0.0458367657258422
GBM	0.10449382791656	0.295550448286053	0.000624047094732658	0.216911893165484	8.8342623602883e-07	0.97702867003988	1.35742605015972e-05	0.00405294198455194	0.1862399994614	0.0762379820113704	0.926727486043408	0.0115628022947417	0.475288140678357	0.0107866513372295	1.59257481743746e-06	0.0081721306223472	0.0011442456479889	0.677111397479264	0.682921892540867	0.550104265551371	7.37980672796934e-05	0.211937117776955	0.00202688140179088	0.392813700769353	0.0659310720341469	5.5937584589289e-05	2.33750077505714e-05	0.0824554129429767	0.00286112442986559	0.160012578272827	0.378692972829714	0.00610097373493433	0.871000787532176	0.0357223863125943	0.115474951874752	0.202813535641124	0.891332960287181	1.78666566851577e-10	0.260091506754658	0.00148787887270985	0.992678962130953	0.533355119479917	0.232246544282104	0.127356499778634	3.86986046419206e-06	0.00461427305954851	0.940131417209006
HNSC	0.00574042276765533	0.00032872777407144	0.780948192199542	0.050432477073345	0.296961215098718	0.00740243930423238	0.0319960699392633	0.951006776179344	0.0388966737476058	0.00646254182329306	0.422832131064477	0.418908329790034	0.0126130350672192	0.132094673951764	0.369037595913274	3.12814715831271e-08	0.0114120547452109	0.574697520741092	0.0211863965710409	0.24349355340226	0.020119690760015	0.000333601283269012	0.19177379344369	0.00803503574552525	0.00157504330842876	0.739455811848036	0.171853449132077	0.0294785719236095	0.167983442917269	0.955629856899222	0.0802309354069	0.251849728943505	0.917854406643171	0.000460765686194706	0.684366077805692	0.392112094685334	0.42668917712532	0.0190262599395521	0.0243345748791773	0.00306977816545603	0.0185318387442468	1.25731308134312e-13	0.221091452712099	0.16967255199587	0.318327958233554	0.975141277748108	0.00921310235749052
