Id	CENPI	Type	CancerType
TCGA-OR-A5JP-01A	0.48571729758536586	Tumor	ACC
TCGA-OR-A5JG-01A	0.6780570629467777	Tumor	ACC
TCGA-OR-A5LG-01A	0.45232611035104603	Tumor	ACC
TCGA-OR-A5JR-01A	0.5666239199416184	Tumor	ACC
TCGA-OR-A5KU-01A	0.27947210911979753	Tumor	ACC
TCGA-OR-A5LS-01A	0.6008970487109604	Tumor	ACC
TCGA-OR-A5L9-01A	0.08354209244132929	Tumor	ACC
TCGA-OR-A5JQ-01A	0.5562552317660445	Tumor	ACC
TCGA-OR-A5K4-01A	1.1090928760120353	Tumor	ACC
TCGA-OR-A5JL-01A	0.5573656530861597	Tumor	ACC
TCGA-OR-A5LC-01A	1.398882131738919	Tumor	ACC
TCGA-OR-A5K2-01A	0.8307548438310209	Tumor	ACC
TCGA-P6-A5OG-01A	1.743182014613172	Tumor	ACC
TCGA-OR-A5JW-01A	0.2604183337965175	Tumor	ACC
TCGA-OR-A5KO-01A	1.5360995245648394	Tumor	ACC
TCGA-OR-A5J8-01A	0.5751520304331281	Tumor	ACC
TCGA-PA-A5YG-01A	0.3244035596699694	Tumor	ACC
TCGA-OR-A5KV-01A	0.28567358179758834	Tumor	ACC
TCGA-OR-A5L4-01A	1.2510129525958393	Tumor	ACC
TCGA-OR-A5KX-01A	0.4276284472046119	Tumor	ACC
TCGA-OR-A5L8-01A	0.19612501205256214	Tumor	ACC
TCGA-OR-A5JO-01A	0.2961524918606137	Tumor	ACC
TCGA-OR-A5JA-01A	1.6705860725043769	Tumor	ACC
TCGA-OR-A5LO-01A	0.8230815147830551	Tumor	ACC
TCGA-OR-A5JM-01A	2.5511351518286807	Tumor	ACC
TCGA-OR-A5JV-01A	0.5878044648859619	Tumor	ACC
TCGA-OR-A5JB-01A	1.634762000924821	Tumor	ACC
TCGA-OR-A5LA-01A	0.09578639408201707	Tumor	ACC
TCGA-OR-A5JE-01A	0.7253934257484758	Tumor	ACC
TCGA-OR-A5JZ-01A	0.7767892819623634	Tumor	ACC
TCGA-OR-A5KT-01A	0.26098628170287563	Tumor	ACC
TCGA-OR-A5KZ-01A	1.770333266891957	Tumor	ACC
TCGA-OR-A5LJ-01A	1.3101596055693867	Tumor	ACC
TCGA-OR-A5LB-01A	0.41790712432574517	Tumor	ACC
TCGA-OR-A5LT-01A	0.6771613575217195	Tumor	ACC
TCGA-OR-A5LD-01A	0.5943343830172476	Tumor	ACC
TCGA-OR-A5J2-01A	0.5671384865611431	Tumor	ACC
TCGA-PK-A5HB-01A	1.9712758328630242	Tumor	ACC
TCGA-OR-A5JS-01A	0.9308040927643783	Tumor	ACC
TCGA-OR-A5K6-01A	0.32163484736365344	Tumor	ACC
TCGA-OR-A5JY-01A	1.5990870279843592	Tumor	ACC
TCGA-OR-A5JT-01A	0.5603332063453177	Tumor	ACC
TCGA-PK-A5H8-01A	0.8177460802471894	Tumor	ACC
TCGA-OR-A5JX-01A	0.05743278443421967	Tumor	ACC
TCGA-OR-A5LK-01A	0.1351121990216917	Tumor	ACC
TCGA-P6-A5OF-01A	0.8611528294084088	Tumor	ACC
TCGA-OR-A5JI-01A	0.12125335277552769	Tumor	ACC
TCGA-OR-A5K5-01A	1.1454418534311541	Tumor	ACC
TCGA-OR-A5JC-01A	0.4123550898110666	Tumor	ACC
TCGA-OR-A5KW-01A	0.9435209514661511	Tumor	ACC
TCGA-OR-A5JJ-01A	1.0164521255407568	Tumor	ACC
TCGA-OR-A5JD-01A	0.24516776117178257	Tumor	ACC
TCGA-OR-A5LM-01A	0.2891102303050272	Tumor	ACC
TCGA-PK-A5HA-01A	0.35339182273088365	Tumor	ACC
TCGA-OR-A5JF-01A	0.18902144094753498	Tumor	ACC
TCGA-OR-A5LH-01A	0.21489820660907472	Tumor	ACC
TCGA-OR-A5K1-01A	0.5243221535776923	Tumor	ACC
TCGA-OR-A5LN-01A	0.1446503400280258	Tumor	ACC
TCGA-OR-A5LE-01A	1.4039149552691264	Tumor	ACC
TCGA-OR-A5L3-01A	0.13057759472486857	Tumor	ACC
TCGA-OU-A5PI-01A	0.7946443018375587	Tumor	ACC
TCGA-OR-A5K8-01A	0.4607799261365764	Tumor	ACC
TCGA-OR-A5K0-01A	0.48485051652702627	Tumor	ACC
TCGA-OR-A5KY-01A	1.5876738843872866	Tumor	ACC
TCGA-OR-A5J9-01A	0.35229669494964677	Tumor	ACC
TCGA-OR-A5J1-01A	0.3492574642007368	Tumor	ACC
TCGA-OR-A5J5-01A	0.6088074141165816	Tumor	ACC
TCGA-OR-A5L6-01A	0.3881585490808734	Tumor	ACC
TCGA-OR-A5LP-01A	0.35910657381457206	Tumor	ACC
TCGA-OR-A5K9-01A	1.5640284344365214	Tumor	ACC
TCGA-OR-A5J7-01A	1.7717788208525547	Tumor	ACC
TCGA-PK-A5H9-01A	0.19126098068607436	Tumor	ACC
TCGA-OR-A5LR-01A	0.36625346200223885	Tumor	ACC
TCGA-OR-A5JK-01A	0.38233280872868586	Tumor	ACC
TCGA-OR-A5J6-01A	0.062283637418093285	Tumor	ACC
